Gender;Married;Dependents;Education;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;Loan_Status;Total_Income
Male;Yes;1;Graduate;No;4583;1508.0;128.0;360.0;1.0;Rural;N;6091.0
Male;Yes;0;Graduate;Yes;3000;0.0;66.0;360.0;1.0;Urban;Y;3000.0
Male;Yes;0;Not Graduate;No;2583;2358.0;120.0;360.0;1.0;Urban;Y;4941.0
Male;No;0;Graduate;No;6000;0.0;141.0;360.0;1.0;Urban;Y;6000.0
Male;Yes;2;Graduate;Yes;5417;4196.0;267.0;360.0;1.0;Urban;Y;9613.0
Male;Yes;0;Not Graduate;No;2333;1516.0;95.0;360.0;1.0;Urban;Y;3849.0
Male;Yes;3+;Graduate;No;3036;2504.0;158.0;360.0;0.0;Semiurban;N;5540.0
Male;Yes;2;Graduate;No;4006;1526.0;168.0;360.0;1.0;Urban;Y;5532.0
Male;Yes;1;Graduate;No;12841;10968.0;349.0;360.0;1.0;Semiurban;N;23809.0
Male;Yes;2;Graduate;No;3200;700.0;70.0;360.0;1.0;Urban;Y;3900.0
Male;Yes;2;Graduate;No;3073;8106.0;200.0;360.0;1.0;Urban;Y;11179.0
Male;No;0;Graduate;No;1853;2840.0;114.0;360.0;1.0;Rural;N;4693.0
Male;Yes;2;Graduate;No;1299;1086.0;17.0;120.0;1.0;Urban;Y;2385.0
Male;No;0;Graduate;No;4950;0.0;125.0;360.0;1.0;Urban;Y;4950.0
Female;No;0;Graduate;No;3510;0.0;76.0;360.0;0.0;Urban;N;3510.0
Male;Yes;0;Not Graduate;No;4887;0.0;133.0;360.0;1.0;Rural;N;4887.0
Male;Yes;0;Not Graduate;No;7660;0.0;104.0;360.0;0.0;Urban;N;7660.0
Male;Yes;1;Graduate;No;5955;5625.0;315.0;360.0;1.0;Urban;Y;11580.0
Male;Yes;0;Not Graduate;No;2600;1911.0;116.0;360.0;0.0;Semiurban;N;4511.0
Male;Yes;0;Graduate;Yes;9560;0.0;191.0;360.0;1.0;Semiurban;Y;9560.0
Male;Yes;0;Graduate;No;2799;2253.0;122.0;360.0;1.0;Semiurban;Y;5052.0
Male;Yes;2;Not Graduate;No;4226;1040.0;110.0;360.0;1.0;Urban;Y;5266.0
Male;No;0;Not Graduate;No;1442;0.0;35.0;360.0;1.0;Urban;N;1442.0
Male;No;0;Graduate;No;3167;0.0;74.0;360.0;1.0;Urban;N;3167.0
Male;No;1;Graduate;Yes;4692;0.0;106.0;360.0;1.0;Rural;N;4692.0
Male;Yes;0;Graduate;No;3500;1667.0;114.0;360.0;1.0;Semiurban;Y;5167.0
Male;No;3+;Graduate;No;12500;3000.0;320.0;360.0;1.0;Rural;N;15500.0
Female;Yes;0;Graduate;No;3667;1459.0;144.0;360.0;1.0;Semiurban;Y;5126.0
Male;No;0;Graduate;No;4166;7210.0;184.0;360.0;1.0;Urban;Y;11376.0
Male;No;0;Not Graduate;No;3748;1668.0;110.0;360.0;1.0;Semiurban;Y;5416.0
Male;No;0;Graduate;No;3600;0.0;80.0;360.0;1.0;Urban;N;3600.0
Male;No;0;Graduate;No;1800;1213.0;47.0;360.0;1.0;Urban;Y;3013.0
Male;Yes;0;Graduate;No;3941;2336.0;134.0;360.0;1.0;Semiurban;Y;6277.0
Male;Yes;1;Graduate;No;5649;0.0;44.0;360.0;1.0;Urban;Y;5649.0
Male;Yes;0;Graduate;No;5821;0.0;144.0;360.0;1.0;Urban;Y;5821.0
Female;Yes;0;Graduate;No;2645;3440.0;120.0;360.0;0.0;Urban;N;6085.0
Female;No;0;Graduate;No;4000;2275.0;144.0;360.0;1.0;Semiurban;Y;6275.0
Female;Yes;0;Not Graduate;No;1928;1644.0;100.0;360.0;1.0;Semiurban;Y;3572.0
Female;No;0;Graduate;No;3086;0.0;120.0;360.0;1.0;Semiurban;Y;3086.0
Female;No;0;Graduate;No;4230;0.0;112.0;360.0;1.0;Semiurban;N;4230.0
Male;Yes;2;Graduate;No;4616;0.0;134.0;360.0;1.0;Urban;N;4616.0
Female;Yes;1;Graduate;Yes;11500;0.0;286.0;360.0;0.0;Urban;N;11500.0
Male;Yes;2;Graduate;No;2708;1167.0;97.0;360.0;1.0;Semiurban;Y;3875.0
Male;Yes;0;Graduate;No;2132;1591.0;96.0;360.0;1.0;Semiurban;Y;3723.0
Male;Yes;0;Graduate;No;3366;2200.0;135.0;360.0;1.0;Rural;N;5566.0
Male;Yes;1;Graduate;No;8080;2250.0;180.0;360.0;1.0;Urban;Y;10330.0
Male;Yes;2;Not Graduate;No;3357;2859.0;144.0;360.0;1.0;Urban;Y;6216.0
Male;Yes;0;Graduate;No;2500;3796.0;120.0;360.0;1.0;Urban;Y;6296.0
Male;Yes;3+;Graduate;No;3029;0.0;99.0;360.0;1.0;Urban;Y;3029.0
Male;Yes;0;Not Graduate;Yes;2609;3449.0;165.0;180.0;0.0;Rural;N;6058.0
Female;No;0;Graduate;No;4166;0.0;116.0;360.0;0.0;Semiurban;N;4166.0
Male;Yes;0;Graduate;No;5726;4595.0;258.0;360.0;1.0;Semiurban;N;10321.0
Male;No;0;Not Graduate;No;3200;2254.0;126.0;180.0;0.0;Urban;N;5454.0
Male;Yes;1;Graduate;No;10750;0.0;312.0;360.0;1.0;Urban;Y;10750.0
Male;Yes;3+;Not Graduate;Yes;7100;0.0;125.0;60.0;1.0;Urban;Y;7100.0
Female;No;0;Graduate;No;4300;0.0;136.0;360.0;0.0;Semiurban;N;4300.0
Male;Yes;0;Graduate;No;3208;3066.0;172.0;360.0;1.0;Urban;Y;6274.0
Male;Yes;2;Not Graduate;Yes;1875;1875.0;97.0;360.0;1.0;Semiurban;Y;3750.0
Male;No;0;Graduate;No;3500;0.0;81.0;300.0;1.0;Semiurban;Y;3500.0
Male;Yes;3+;Graduate;Yes;5266;1774.0;187.0;360.0;1.0;Semiurban;Y;7040.0
Male;No;0;Graduate;No;3750;0.0;113.0;480.0;1.0;Urban;N;3750.0
Male;No;0;Graduate;No;3750;4750.0;176.0;360.0;1.0;Urban;N;8500.0
Male;Yes;1;Graduate;Yes;1000;3022.0;110.0;360.0;1.0;Urban;N;4022.0
Male;Yes;3+;Graduate;No;3167;4000.0;180.0;300.0;0.0;Semiurban;N;7167.0
Female;No;0;Graduate;No;3846;0.0;111.0;360.0;1.0;Semiurban;Y;3846.0
Female;Yes;2;Graduate;No;1378;1881.0;167.0;360.0;1.0;Urban;N;3259.0
